"","target_id","term","estimate","std_error"
"1","ENST00000000233.10","(Intercept)",5.25278441778851,1.23629258218048
"2","ENST00000000233.10","X1",0.0661358882064359,1.73201587671087
"3","ENST00000000233.10","X2",1.02727183921172,2.12003251248541
"4","ENST00000000233.10","X3",0.630131427666153,1.68841019356865
"5","ENST00000000233.10","X4",1.28440814817754,3.16531133228734
"6","ENST00000000233.10","X5",0.531518814458494,1.40473175557197
"7","ENST00000000412.8","(Intercept)",1.55703846149014,1.38933340291124
"8","ENST00000000412.8","X1",4.33953411807771,1.94642234902265
"9","ENST00000000412.8","X2",-0.425855775964524,2.38247161497878
"10","ENST00000000412.8","X3",4.53348197180361,1.89741871265091
"11","ENST00000000412.8","X4",2.24676745228054,3.55714563683945
"12","ENST00000000412.8","X5",4.52548338391885,1.57862368364624
"13","ENST00000001008.6","(Intercept)",5.67472399243251,1.2675401014415
"14","ENST00000001008.6","X1",-0.270442185572966,1.77579289215851
"15","ENST00000001008.6","X2",0.137929506479044,2.17361671878311
"16","ENST00000001008.6","X3",0.425075696317057,1.7310850674654
"17","ENST00000001008.6","X4",-2.68147349131504,3.24531515035468
"18","ENST00000001008.6","X5",1.58020474886266,1.44023660549299
"19","ENST00000002165.11","(Intercept)",1.9532150575914,1.26540026458291
"20","ENST00000002165.11","X1",0.894337908264874,1.77279503269864
"21","ENST00000002165.11","X2",1.94063214804177,2.16994726077858
"22","ENST00000002165.11","X3",2.70935903265832,1.72816268289665
"23","ENST00000002165.11","X4",1.10810307650048,3.23983647163787
"24","ENST00000002165.11","X5",1.8070011652151,1.43780522571257
"25","ENST00000002596.6","(Intercept)",6.05626565390708,1.28609105295233
"26","ENST00000002596.6","X1",-0.427738905011251,1.8017823246019
"27","ENST00000002596.6","X2",0.54950132802795,2.205428460524
"28","ENST00000002596.6","X3",-0.0337384979711264,1.75642018318375
"29","ENST00000002596.6","X4",-0.717929602687104,3.29281162318669
"30","ENST00000002596.6","X5",-0.060611748065381,1.46131503875301
"31","ENST00000005257.7","(Intercept)",5.53497726299945,1.22618326372795
"32","ENST00000005257.7","X1",-1.37983889973494,1.71785296712547
"33","ENST00000005257.7","X2",1.53965826934787,2.10269674253309
"34","ENST00000005257.7","X3",-0.0371048636379003,1.67460385308637
"35","ENST00000005257.7","X4",-0.175327462310986,3.13942818721251
"36","ENST00000005257.7","X5",0.760684718451793,1.39324508901572
"37","ENST00000005260.9","(Intercept)",5.60919870274664,1.23289205158883
"38","ENST00000005260.9","X1",1.36473782676812,1.72725181595464
"39","ENST00000005260.9","X2",0.138773577938865,2.11420117812499
"40","ENST00000005260.9","X3",1.01256925640871,1.68376607404771
"41","ENST00000005260.9","X4",-1.25695916314055,3.15660486735121
"42","ENST00000005260.9","X5",1.54674858132252,1.4008679183406
"43","ENST00000005286.8","(Intercept)",2.22439961727484,1.3508923451007
"44","ENST00000005286.8","X1",1.84754815084645,1.8925673608062
"45","ENST00000005286.8","X2",1.61269013232924,2.31655170771142
