Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immune System	62/2150	2.16604961417664E-11	2.0014298434992154E-8	0	0	2.9818334204110064	73.2205028984647	IL1RN;IFITM2;CSF3R;DDX3X;NCF2;ITGB2;PTEN;SLC2A3;ACTB;LMNB1;PSMD7;FCGR3B;CAPZB;FTH1;CFL1;ITGAX;LRRFIP1;SPTAN1;TRIM21;HLA-DPA1;IKBIP;WSB1;ANXA1;FBXW5;RNASET2;PRKCD;HLA-B;IL16;CLEC4A;PSMA6;IL1B;CANX;NUP98;LCP1;EIF4E2;HCST;CD44;S100A8;IQGAP1;CFP;PPL;PLAC8;PCBP2;RAB24;CD59;STX4;GBP1;IP6K2;TMEM30A;GCA;STAT2;SIAH1;MYO9B;PILRB;UBE2A;FABP5;PSMC1;UBA1;MNDA;STUB1;FCGR2B;SIPA1
Neutrophil Degranulation	22/478	7.001008532731025E-8	3.234465942121734E-5	0	0	4.312175113710201	71.04147452675926	DDX3X;TMEM30A;GCA;RNASET2;PRKCD;ITGB2;HLA-B;SLC2A3;IQGAP1;CFP;PLAC8;PSMD7;FCGR3B;FABP5;FTH1;RAB24;ITGAX;CD59;MNDA;SPTAN1;CD44;S100A8
Cytokine Signaling in Immune System	27/776	6.322137401243077E-7	1.947218319582868E-4	0	0	3.2482551775194732	46.36571882370151	IL1RN;IFITM2;CSF3R;ITGB2;LMNB1;PSMD7;CFL1;ITGAX;STX4;GBP1;TRIM21;HLA-DPA1;IP6K2;IKBIP;ANXA1;STAT2;PRKCD;HLA-B;IL16;PSMA6;PSMC1;IL1B;CANX;NUP98;LCP1;EIF4E2;CD44
Innate Immune System	34/1149	8.632899351188744E-7	1.9941997501245998E-4	0	0	2.7872944693572497	38.91764150784561	DDX3X;NCF2;ITGB2;SLC2A3;IQGAP1;CFP;ACTB;PLAC8;PSMD7;FCGR3B;FTH1;PCBP2;RAB24;CFL1;ITGAX;CD59;LRRFIP1;SPTAN1;TRIM21;IKBIP;TMEM30A;GCA;RNASET2;PRKCD;HLA-B;MYO9B;CLEC4A;PSMA6;FABP5;PSMC1;IL1B;MNDA;CD44;S100A8
Metabolism of Proteins	47/2067	9.880146544929417E-6	0.0018258510815029564	0	0	2.1613031983826656	24.90898308136112	LY6K;CMAS;UBXN1;TMED10;RPL31;RPL11;POMP;RPN1;PTEN;RPS27L;CFP;RNF5;PSMB10;ACTB;TRMT112;PSMD7;FCGR3B;CAPZB;RAB24;SUMO2;CD59;APOL1;SPTAN1;FGF23;H3-3A;RPL41;WSB1;FBXW5;GALNT3;SSR2;SIAH1;HLA-B;UBE2A;PIAS2;PSMA6;STAG2;EIF5;B3GNT8;PSMC1;GNB2;CANX;EXOC4;KDELR2;UBA1;NUP98;SLC25A5;RPS24
Signaling by Interleukins	17/452	3.161597101250118E-5	0.0048688595359251815	0	0	3.417683465959328	35.413517110181026	IKBIP;IL1RN;ANXA1;CSF3R;STAT2;ITGB2;IL16;LMNB1;PSMA6;PSMD7;PSMC1;IL1B;CANX;CFL1;ITGAX;STX4;LCP1
Class I MHC Mediated Antigen Processing & Presentation	15/373	4.37105471786772E-5	0.00576979222758539	0	0	3.645815066262495	36.59640409255541	WSB1;FBXW5;NCF2;SIAH1;HLA-B;UBE2A;PSMA6;PSMD7;PSMC1;CANX;STX4;UBA1;STUB1;TRIM21;S100A8
Signaling by Rho GTPases	21/672	5.7446833584899985E-5	0.006635109279055949	0	0	2.8409394975471978	27.74078177157454	NCF2;PRKCD;MYO9B;IQGAP1;FAM91A1;LEMD3;ACTB;ARHGAP4;LMNB1;RND1;PREX1;FGD4;CAPZB;BASP1;PEAK1;CFL1;NUP98;SPTAN1;H3-3A;DBN1;S100A8
Signaling by Rho GTPases, Miro GTPases and RHOBTB3	21/688	8.014333746086509E-5	0.007504191675205975	0	0	2.7704696039077237	26.13022100909921	NCF2;PRKCD;MYO9B;IQGAP1;FAM91A1;LEMD3;ACTB;ARHGAP4;LMNB1;RND1;PREX1;FGD4;CAPZB;BASP1;PEAK1;CFL1;NUP98;SPTAN1;H3-3A;DBN1;S100A8
Apoptotic Cleavage of Cellular Proteins	5/38	8.33524611817553E-5	0.007504191675205975	0	0	12.82936662764989	120.49895905351072	FNTA;PRKCD;SPTAN1;ADD1;LMNB1
