"path" "sample" "condition"
"1" "results/SRR6493267" "052515H11" "pre_vaccination"
"2" "results/SRR6493268" "052515H12" "pre_vaccination"
"3" "results/SRR6493269" "052515H13" "pre_vaccination"
"4" "results/SRR6493270" "052515H14" "pre_vaccination"
"5" "results/SRR6493271" "052515H15" "pre_vaccination"
"6" "results/SRR6493272" "052515H16" "pre_vaccination"
"7" "results/SRR6493273" "052515H17" "pre_vaccination"
"8" "results/SRR6493274" "052515H18" "pre_vaccination"
"9" "results/SRR6493276" "052515H19" "pre_vaccination"
"10" "results/SRR6493277" "052515H20" "pre_vaccination"
"11" "results/SRR6493278" "052515H21" "pre_vaccination"
"12" "results/SRR6493279" "052515H22" "pre_vaccination"
"13" "results/SRR6493280" "052515H23" "pre_vaccination"
"14" "results/SRR6493281" "052515H24" "pre_vaccination"
"15" "results/SRR6493282" "052615H01" "pre_vaccination"
"16" "results/SRR6493283" "052615H02" "pre_vaccination"
"17" "results/SRR6493284" "052615H03" "pre_vaccination"
"18" "results/SRR6493285" "052615H04" "pre_vaccination"
"19" "results/SRR6493286" "052615H05" "pre_vaccination"
"20" "results/SRR6493287" "052615H06" "pre_vaccination"
"21" "results/SRR6493297" "060715H11" "post_vaccination"
"22" "results/SRR6493298" "060715H12" "post_vaccination"
"23" "results/SRR6493299" "060715H13" "post_vaccination"
"24" "results/SRR6493300" "060715H14" "post_vaccination"
"25" "results/SRR6493301" "060715H15" "post_vaccination"
"26" "results/SRR6493302" "060715H16" "post_vaccination"
"27" "results/SRR6493303" "060715H17" "post_vaccination"
"28" "results/SRR6493304" "060715H18" "post_vaccination"
"29" "results/SRR6493305" "060715H19" "post_vaccination"
"30" "results/SRR6493306" "060715H20" "post_vaccination"
"31" "results/SRR6493307" "060715H21" "post_vaccination"
"32" "results/SRR6493308" "060715H22" "post_vaccination"
"33" "results/SRR6493309" "060715H23" "post_vaccination"
"34" "results/SRR6493310" "060715H24" "post_vaccination"
"35" "results/SRR6493311" "060815H01" "post_vaccination"
"36" "results/SRR6493312" "060815H02" "post_vaccination"
"37" "results/SRR6493313" "060815H03" "post_vaccination"
"38" "results/SRR6493314" "060815H04" "post_vaccination"
"39" "results/SRR6493315" "060815H05" "post_vaccination"
"40" "results/SRR6493316" "060815H06" "post_vaccination"
