Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Aerobic Respiration and Respiratory Electron Transport	39/260	3.3419170303999307E-17	3.84654650199032E-14	0	0	6.238869028274293	236.6864822097764	MT-ND6;NDUFB9;MT-ND4;MT-ND5;UQCRB;MT-CO1;COX17;NDUFB3;ATP5MC2;NDUFB1;UQCR11;UQCR10;MT-ND2;COX6A1;HIGD1A;MT-ND3;COX5A;MT-ND1;MT-ATP6;MPC2;NDUFV3;ATP5MG;ATP5MF;ATP5PF;PET100;NDUFA1;SDHC;SDHD;ATP5F1C;MT-ATP8;HIGD2A;LYRM4;NDUFS5;CYCS;MT-CO2;MT-CO3;UQCRC2;MT-CYB;LDHAL6A
FASTK Family Proteins Regulate Processing and Stability of Mitochondrial RNAs	13/19	2.1731755519231972E-16	8.48867845092349E-14	0	0	73.91798476859988	2665.86483472654	MT-ND6;MT-ND4L;MT-ND4;MT-ND5;MT-CO1;MT-ND2;MT-ND3;MT-ATP8;MT-ND1;MT-ATP6;MT-CO2;MT-CO3;MT-CYB
Respiratory Electron Transport	30/158	2.2125139316047322E-16	8.48867845092349E-14	0	0	8.19038722826087	295.2407893507438	MT-ND6;NDUFB9;MT-ND4;MT-ND5;UQCRB;MT-CO1;COX17;NDUFB3;NDUFB1;UQCR11;UQCR10;COX6A1;MT-ND2;HIGD1A;MT-ND3;COX5A;MT-ND1;NDUFV3;PET100;NDUFA1;SDHC;SDHD;HIGD2A;LYRM4;NDUFS5;CYCS;MT-CO2;MT-CO3;UQCRC2;MT-CYB
Mitochondrial RNA Degradation	13/25	3.547791001356676E-14	1.0208768606403836E-11	0	0	36.94756883421207	1144.2612611878887	MT-ND6;MT-ND4L;MT-ND4;MT-ND5;MT-CO1;MT-ND2;MT-ND3;MT-ATP8;MT-ND1;MT-ATP6;MT-CO2;MT-CO3;MT-CYB
rRNA Processing in the Mitochondrion	13/38	2.609820440515227E-11	6.007806654066052E-9	0	0	17.722952548330404	431.89337063120394	MT-ND4L;MT-ND4;MT-ND5;NSUN4;MT-CO1;MT-ND2;MT-ND3;MT-ATP8;MT-ND1;MT-ATP6;MT-CO2;MT-CO3;MT-CYB
tRNA Processing in the Mitochondrion	13/42	1.1052805037785837E-10	2.1202964330819166E-8	0	0	15.275256045088177	350.19672842915435	MT-ND6;MT-ND4L;MT-ND4;MT-ND5;MT-CO1;MT-ND2;MT-ND3;MT-ATP8;MT-ND1;MT-ATP6;MT-CO2;MT-CO3;MT-CYB
Complex I Biogenesis	12/68	5.423363021723869E-7	8.917558340005961E-5	0	0	7.278947368421052	105.01613636657041	MT-ND6;NDUFB9;MT-ND4;MT-ND5;NDUFS5;NDUFB3;NDUFA1;NDUFB1;NDUFV3;MT-ND2;MT-ND3;MT-ND1
Formation of ATP by Chemiosmotic Coupling	7/20	9.501243905953718E-7	1.3669914669690912E-4	0	0	18.171906354515052	251.983881813706	MT-ATP6;ATP5PF;ATP5MC2;ATP5F1C;ATP5MG;MT-ATP8;ATP5MF
rRNA Processing	22/237	1.8169118445796303E-6	2.323628370123505E-4	0	0	3.5088538205980067	46.381336100430225	MT-ND4L;MT-ND4;RPL41;MT-ND5;NSUN4;MT-CO1;KRR1;RPS27L;RPL23A;MT-ND2;RPS4Y1;MT-ND3;MT-ATP8;MT-ND1;MT-ATP6;EXOSC4;RPL35;MT-CO2;MT-CO3;MT-CYB;RPL39;NOP10
Mitochondrial Protein Degradation	13/97	4.668286555052043E-6	5.373197824864901E-4	0	0	5.258640890451084	64.54833640363968	MT-ND6;ATP5PF;MT-ND5;MT-CO1;MT-ND2;ATP5F1C;COX5A;MT-ND1;MT-ATP6;MT-CO2;UQCRC2;NDUFV3;ATP5MG
tRNA Processing	16/146	5.6747015032537415E-6	5.937801300222779E-4	0	0	4.1941832019570535	50.663604928124556	MT-ND6;MT-ND4L;MT-ND4;MT-ND5;NUP210;TYW5;MT-CO1;MT-ND2;MT-ND3;MT-ATP8;MT-ND1;MT-ATP6;MT-CO2;LCMT2;MT-CO3;MT-CYB
Complex IV Assembly	9/48	8.564541007878299E-6	8.214822250056602E-4	0	0	7.804671768022553	91.06397376055027	PET100;MT-CO1;COX17;MT-CO2;MT-CO3;COX6A1;HIGD1A;COX5A;HIGD2A
Cristae Formation	7/33	3.76866610810417E-5	0.003336718992636846	0	0	9.079866220735786	92.48937273694291	MT-ATP6;ATP5PF;ATP5MC2;ATP5F1C;ATP5MG;ATP5MF;MT-ATP8
Complex III Assembly	6/25	6.535447322104424E-5	0.005373071334101566	0	0	10.635416666666666	102.47952133437512	UQCRB;LYRM4;UQCR11;UQCR10;UQCRC2;MT-CYB
Transcriptional Regulation by TP53	24/362	1.6792275914015111E-4	0.012885273051354262	0	0	2.427944264172552	21.103707207606966	BRD1;BLM;CTDP1;APAF1;MT-CO1;BRPF3;BRCA1;COX6A1;COX5A;RRAGA;BRIP1;RHEB;CCNG1;JMY;TNKS1BP1;CYCS;MT-CO2;ELOB;LAMTOR2;MT-CO3;ELOC;NELFCD;POLR2J;YWHAH
TP53 Regulates Metabolic Genes	10/86	1.958392925005856E-4	0.014088189104260877	0	0	4.449300699300699	37.989091181686995	RRAGA;MT-CO1;RHEB;CYCS;MT-CO2;LAMTOR2;MT-CO3;COX6A1;COX5A;YWHAH
Metabolism of RNA	40/761	2.4232368183223639E-4	0.016406738693464946	0	0	1.913803604055458	15.932867038946918	MT-ND6;SF3B4;MT-ND4L;MT-ND4;MT-ND5;NXT1;MT-CO1;SF3B6;SRRT;RPS27L;RPS4Y1;MT-ND2;MT-ND3;ACTB;MT-ND1;MT-ATP6;EXOSC4;MAGOH;RPL35;TNKS1BP1;SNRPB2;LCMT2;RPL39;POLR2J;RPL41;CHTOP;TYW5;NUP210;NSUN4;HSBP1;KRR1;RPL23A;MT-ATP8;PNRC2;PSMC3;MFAP1;MT-CO2;MT-CO3;MT-CYB;NOP10
Interleukin-10 Signaling	7/46	3.404618629523904E-4	0.021770644681011184	0	0	6.0491861761426975	48.304006470109826	IL1RN;CCL22;IL1B;LIF;CCL2;CXCL2;TNF
Metal Sequestration by Antimicrobial Proteins	3/6	4.591520378532267E-4	0.027814947135213892	0	0	33.53195164075993	257.73091148545467	S100A7A;S100A9;S100A8
